id,name,type,state,total_shootings
1425,Ukiah Police Department,local_police,CA,1
3578,Umatilla Tribal Police Department,local_police,OR,1
1107,Unified Police Department of Greater Salt Lake,local_police,UT,15
1035,Union City Police Department,local_police,CA,1
2448,Union City Police Department,local_police,GA,1
249,Union County Sheriff's Department,sheriff,AR,2
2517,Union County Sheriff's Department,sheriff,MS,2
1885,Union County Sheriff's Department,sheriff,NC,2
2372,Union County Sheriff's Department,sheriff,SC,2
26393,Union County Sheriff's Office,sheriff,GA,1
3471,Union County Sheriff's Office,sheriff,OH,1
1887,Union Parish Sheriff's Department,sheriff,LA,1
1804,Uniontown Police Department,local_police,OH,1
2813,Union Township Police Department,local_police,OH,1
1683,Union Township Police (Lawrence Co.),local_police,PA,1
1775,United States Capitol Police,federal,DC,3
2859,United States Department of Veterans Affairs Police,federal,WI,1
26437,United States Park Police,federal,DC,2
3425,United States Secret Service,federal,DC,1
2697,University City Police Department,local_police,MO,1
2278,University of California at Riverside Police,local_other,CA,1
656,University of Cincinnati Police Department,local_other,OH,1
